year,state,district,candidate,candidate_normalized,party,votes,money_raised
,Texas,20,Check Pena,pena,Libertarian,,0
,Texas,20,Jeffrey Blunt,blunt,Libertarian,32727,0
,Texas,21,Joseph Kopser,kopser,Democratic,167020,2700567
,Texas,21,Chip Roy,roy,Republician,176913,1687647
,Texas,22,Pete Olson,olson,Republician,152368,1441469
,Texas,22,Sri Kulkarni,kulkarni,Democratic,137592,1163638
,Texas,22,Sara Kellen Sweny,kellensweny,Independent,,8882
,Texas,23,Will Hurd,hurd,Republician,102903,4744721
,Texas,23,Gina Jones,jones,Democratic,101753,5453983
,Texas,23,Robert Hildt,hildt,Third,,18700
,Texas,24,Kenny Marchant,marchant,Republician,133291,1175792
,Texas,24,Jan McDowell,mcdowll,Democratic,125165,101711
,Texas,25,Roger Williams,williams,Republician,162291,1524304
,Texas,25,Julie Oliver,oliver,Democratic,135290,599462
,Texas,26,Michael Burgess,burgess,Republician,185326,1562142
,Texas,26,Linsey Fagan,fagan,Democratic,121671,164159
,Texas,27,Michael Cloud,cloud,Republician,124958,662234
,Texas,27,Eric Holguin,holguin,Democratic,75761,183832
,Texas,27,James M Duerr,duerr,Independent,,28097
,Texas,28,Henry Cuellar,cuellar,Democratic,117178,1541766
,Texas,29,Sylvia Garcia,garcia,Democratic,87997,1089058
,Texas,29,Phillip Aronoff,aronoff,Republician,28045,94742
,Texas,30,Eddie Bernice Johnson,Johnson,Democratic,166784,469131
,Texas,31,John Carter,carter,Republician,144401,1641823
,Texas,31,MJ Hegar,hegar,Democratic,135843,4066670
,Texas,32,Pete Sessions,sessions,Republician,126066,4409478
,Texas,32,Colin Allred,allred,Democratic,144032,4918539
,Texas,32,Michael Dee,dee,Independent,,777
,Texas,33,Marc Veasey,veasey,Democratic,90805,1376799
,Texas,33,Willie Billups,billups,Republician,26120,53356
,Texas,34,Filemon Vela,vela,Democratic,85647,1014611
,Texas,34,Rey Gonzalez,gonzalez,Republician,571257,66656
,Texas,35,Lloyd Doggett,doggett,Democratic,137325,950139
,Texas,35,David Smalling,smalling,Republician,50276,45948
,Texas,36,Brian Babin,babin,Republician,160792,1097370
,Texas,36,Dayna Stelle,stelle,Democratic,60763,835074
,New Hampshire,1,Chris Pappas,pappas,Democratic,155741,1869153
,New Hampshire,1,Eddie Edwards,edwards,Republician,130909,988068
,New Hampshire,2,Ann Kuster,kuster,Democratic,155432,3187974
,New Hampshire,2,Steve Negron,negron,Republician,117964,404139
,Virginia,1,Rob Wittman,wittman,Republician,183251,1411558
,Virginia,1,Vangie Williams,williams,Democratic,148465,421222
,Virginia,2,Scott W Taylor,taylor,Republician,133458,3627070
,Virginia,2,Elaine Luria,luria,Democratic,139571,3585621
,Virginia,3,Bobby Scott,scott,Democratic,198615,566374
,Virginia,4,Donald McEachin,mceachin,Democratic,187650,815324
,Virginia,4,Ryan McAdams,mcadams,Republician,107716,170958
,Virginia,4,Pete Wells,wells,Libertarian,,601
,Virginia,5,Leslie Cockburn,cockburn,Democratic,145756,2751652
,Virginia,5,Dener Riggleman,riggleman,Republician,165526,1405852
,Virginia,6,Ben Cline,cline,Republician,167958,832352
,Virginia,6,Jennifer Lewis,lewis,Democratic,113133,386707
,Virginia,7,Dave Brat,brat,Republician,169411,2707910
,Virginia,7,Abigail Spanberger,spanberger,Democratic,176075,5894232
,Virginia,7,Helen Alli,alli,Third,,13166
,Virginia,7,Joe Walton,walton,Libertarian,,6573
,Virginia,8,Don Beyer,beyer,Democratic,247137,1910900
,Virginia,8,Thomas Oh,oh,Republician,76899,60134
,Virginia,9,Morgan Griffith,griffith,Republician,160993,1059744
,Virginia,9,Anthony Flaccavento,flaccavento,Democratic,85950,934113
,Virginia,10,Barbara Comstock,comstock,Republician,160841,5790676
,Virginia,10,Jennifer Wexton,wexton,Democratic,206365,5387365
,Virginia,11,Gerry Connolly,connolly,Democratic,219191,1923348
,Virginia,11,Jeff Dove,dove,Republician,83023,545783
,Virginia,11,Stevan Porter,porter,Libertarian,,10443
,Wisconsin,1,Randy Bryce,bryce,Democratic,137507,7885468
,Wisconsin,1,Bryan Stell,stell,Republician,177490,1863642
,Wisconsin,2,Mark Pocan,pocan,Democratic,309025,1005193
,Wisconsin,3,Ron Kind,kind,Democratic,187612,2199052
,Wisconsin,3,Steve Toft,toft,Republician,126897,284840
,Wisconsin,4,Gwen Moore,moore,Democratic,208127,943769
,Wisconsin,4,Tim Rogers,rogers,Republician,60240,0
,Wisconsin,5,F James Sensenbrenner Jr,sensenbrenner,Republician,224398,341238
,Wisconsin,5,Tom Palzewicz,palzewicz,Democratic,137536,230861
,Wisconsin,5,David Warnacut,warnacut,Independent,,4413
,Wisconsin,6,Gleen S Grothman,grothman,Republician,180726,1840827
,Wisconsin,6,Dan Kohl,kohl,Democratic,144781,2842785
,Wisconsin,7,Sean P Duffy,duffy,Republician,192750,3394896
,Wisconsin,7,Margaret Ruth Engebretson,Engebretseon,Democratic,123326,112067
,Wisconsin,8,Mike Gallagher,gallagher,Republician,209400,2720558
,Wisconsin,8,Beau Liegeois,liegeois,Democratic,119263,315127
